ESTAÇÃO,n,Curvatura de Sem,P1,P2
Cerqueira César,86,"-4,34",20/mar,-
Congonhas,90,"-3,78",20/mar,-
Marginal Tietê,90,"-4,45",20/mar,-
Parque Dom Pedro II,90,"-3,68",20/mar,-
Pinheiros,89,"-4,11",20/mar,-
